News_ID,CompanyName_News,Date_News,Headline_News,Description_News
34,ABBEY,"Sat, Mar 24, 2018, 05:00",Plans for Limerick to hit new heights," The city’s visitors will have three more towers to look at if planning permission is secured
"
35,ABBEY,"Sat, Feb 17, 2018, 06:00",Gabriel Byrne on Weinstein: ‘He was a violent bully. He had such power’," The Dublin actor on sex harrassent, and why fame is like being trapped in a drum
"
36,ABBEY,"Tue, Feb 6, 2018, 21:38",Dublin market has volatile day influenced by wild trading in US," Just five Dublin-listed shares finish the session in positive territory
"
37,ABBEY,"Tue, Feb 6, 2018, 13:12",Dublin stock market staunches sell-off as US rally soothes meltdown fears," European bourses begin to bounce back but volatility remains
"
38,ABBEY,"Tue, Feb 6, 2018, 06:26",Stocks crumble in vicious sell-off as ‘goldilocks’ trade unravels," Asian stocks follow Wall Street lower as Nikkei dives 6.8%
"
39,ABBEY,"Mon, Jan 22, 2018, 15:42",Game of Thobes: how an Arab family feud has thrust Qatar into the fight of its life," Three duelling, headstrong royals at the centre of a dispute that threatens to escalate
"
40,ABBEY,"Sat, Jan 20, 2018, 06:00",Big Irish Times Christmas Quiz 2017: The solutions," All the solutions to The Big Irish Times Christmas Quiz 2017, plus the winners
"
41,ABBEY,"Thu, Dec 7, 2017, 05:00","Christmas pantos, musicals, concerts and festivals"," A round-up of events for families and children during the festive season
"
42,ABBEY,"Sat, Nov 18, 2017, 06:00",Twixmas break: Things to do between Christmas and New Year," Joan Scales finds some of the best deals around the country for a quick festive getaway
"
43,ABBEY,"Fri, Nov 17, 2017, 07:00","Glenveagh to develop 1,300 houses after buying 11 sites"," Company has invested approximately €83m in cash on the acquisition of sites
"
44,ABBEY,"Mon, Oct 30, 2017, 06:01","The women’s bodies lay on the floor, empty carbolic bottles beside them"," Karl O’Neill on the real-life tragedy of a murder and suicide that inspired his play
"
45,ABBEY,"Sat, Oct 28, 2017, 00:04",Gin and tonic,
46,ABBEY,"Fri, Oct 20, 2017, 06:00",Whatever happened to the humble gin and tonic?," G&Ts have had a ‘experiential’ makeover, which comes at a price. Is it worth it?
"
47,ABBEY,"Sat, Oct 14, 2017, 06:00",Life on the Luas: a tale of two tracks," We travel Dublin’s Red and Green Lines to learn about the different worlds they travel through
"
48,ABBEY,"Tue, Sep 5, 2017, 17:00",Katie Roche: Ambitions of greatness for a woman in search of character," In 1930s rural Ireland, Katie Roche is a young woman with notions. In 2017, this revival of Teresa Deevy’s neglected classic has clearer aims
"
49,ABBEY,"Sat, Aug 19, 2017, 06:15",Last of the summer time: 20 things to do before the holidays end," We’ve rounded up 20 ways to keep that holiday feeling as long as possible
"
50,ABBEY,"Mon, Jul 31, 2017, 19:01",PTSB shares lose 2.4% amid negative commentary," Strong results from heavyweight bank HSBC help British blue-chips retain gains
"
51,ABBEY,"Sat, Jul 22, 2017, 08:00","Going coastal: 50 of the best places to eat, stay and play along Ireland’s coastline"," A nation of islanders, we can’t resist the lure of the sea. To satisfy those cravings we’ve put together a list of great seaside activities and lovely places to eat and sleep
"
52,ABBEY,"Fri, Jun 2, 2017, 18:17",Housebuilder Abbey flags ‘moderate’ decline in sales ,Operating profits to be ‘in the region of’ last year’s result
53,ABBEY,"Wed, May 24, 2017, 10:00",Live like a king in the Royal county," Meathattracts buyerspriced out of Dublin but stock and broadband remain issues
"
54,ABBEY,"Mon, May 1, 2017, 21:20",The other Haughey: lavish lifestyle of an Irish lord," Contents of Dr Edward Haughey’s ‘Downton Abbey’ home for sale
"
55,ABBEY,"Thu, Apr 13, 2017, 20:18",In search of the elusive Good Friday pint," A 90-year law bans alcohol sales but there are exemptions beyond the illegal lock-in
"
56,ABBEY,"Sat, Mar 18, 2017, 06:00",The 100 best places to eat in Ireland in 2017," From fish-finger sandwiches to fine dining, we recommend the restaurants and cafes serving the best food in the country
"
57,ABBEY,"Sat, Mar 18, 2017, 05:12",Obituary: Michael Maher," Celebrated Tipperary hurler who became accomplished GAA administrator
"
58,ABBEY,"Thu, Mar 16, 2017, 06:07","Gigs, shows and going out: here’s our seven day event guide"," The only gig guide you’ll need for St Patrick’s weekend and beyond
"
59,ABBEY,"Sat, Mar 11, 2017, 06:00",What’s your county’s claim to fame?," A cure forleprosy? The Connemarathon? The home of Botox, or Viagra? Birthplace of the MGM lion? Whateverits claim to fame, know your county’sbragging rights 
"
60,ABBEY,"Tue, Feb 7, 2017, 15:30",Fight brewing in Foxrock  over high-density developments," Infill schemes along a stretch of Dublin’sN11face planning hurdles and local opposition
"
61,ABBEY,"Thu, Feb 2, 2017, 06:00",Who's that lady? The extraordinary life of the Marchioness of Dufferin," It takes great reserves of chutzpah to live in a place like Clandeboye but Lady Dufferin is not lacking
"
62,ABBEY,"Fri, Jan 20, 2017, 17:58",Gallagher family’s stake in housebuilder Abbey tops 81% ," Gallaghers launched takeover bid for Abbey in 2012 as shareholding breached 50% 
"
63,ABBEY,"Fri, Jan 13, 2017, 22:11",BT Young Scientist exhibition: Category winners," All the winners in each sectionof2016 BT Young Scientist and Technology Exhibition 
"
64,ABBEY,"Thu, Jan 12, 2017, 09:06",Chelsea given permission to expand Stamford Bridge," The West London club are hoping to increase the ground’s capacity to 60,000 by 2021
"
65,ABBEY,"Thu, Nov 24, 2016, 20:08",Slight rise in European shares while Iseq edges up .65%," BoI and housebuilder Abbey rise on back of Central Bank move on mortgage lending
"
66,ABBEY,"Sat, Oct 15, 2016, 06:00",Modern Ireland in 100 Artworks: Irish road to modernity has no straight lines," The collective works in our series show how molten and defiant Irish artworks can be 
"
67,ABBEY,"Sun, Oct 2, 2016, 06:00",Brian Friel one year on: A critical overview," Long read: Reading Ireland founder Adrienne Leavy assesses the legacy of the great Irish playwright who died a year ago today. Photographs by Bobbie Hanvey 
"
68,ABBEY,"Sat, Jul 16, 2016, 01:00",Salvage style: How to furnish your home from a scrapyard," From floorboards to fireplaces, sinks to sofas, salvage yards offer all you need to furnish a home. Here are six of the best 
"
69,ABBEY,"Tue, Jul 12, 2016, 19:08",European shares rise for fourth straight session," Bank of Ireland, Ryanair and housebuilder Abbey among the top gainers in Dublin
"
70,ABBEY,"Thu, Jun 16, 2016, 14:30",Shopping spraoi: Nenagh," Tractors, tarts and GAA paraphernalia are just some of the varied offerings
"
71,ABBEY,"Wed, Jun 1, 2016, 11:49",10 things you might not know about Irish pubs," From 24-hour opening to corpses, dog shows and the oldest graffiti 
"
72,ABBEY,"Wed, Apr 20, 2016, 20:51",New website details Easter Rising compensation claims," Jack B YeatsandHanna Sheehy-Skeffington among those who sought monetary relief
"
73,ABBEY,"Fri, Apr 15, 2016, 01:00",‘Kleptocracy Tour’ highlights UK’s role in global corruption ," Bus tour visits London properties owned by dubious foreign oligarchs and officials
"
74,ABBEY,"Wed, Mar 9, 2016, 00:00",Nine men followed the signatories to the execution yard ," Some of the men executed were almost peripheral to the Rising
"
75,ABBEY,"Sat, Feb 13, 2016, 05:45",Object Matters: There is more to Irish design than jobs and exports," TheYear of Irish Design celebrated collaboration and gave good return on investment, but its long-term impact is hard to quantify
"
76,ABBEY,"Sun, Jan 17, 2016, 18:45",TV preview: Seven things to watch on television this week," From the stories of the unsung heroes of 1916 to the new wave of extremists radicalising young British Muslims, here are seven programmes worth catching this week
"
77,ABBEY,"Thu, Dec 24, 2015, 02:00","Culinaria: Blue cheese, please","Keep the Christmas cheese board simple
"
78,ABBEY,"Fri, Nov 6, 2015, 13:13",Thomas Merton: from wayward youth to man of God," John Cooney traces the unlikely journey ofthe poet and spiritual writer, born of bohemian parents, who fathered a child as a Cambridge student before becoming a monk
"
79,ABBEY,"Mon, Oct 19, 2015, 01:00",Lucy Kellaway: My new rule of competition begins with a war on ‘talent’," How about using honest, honourable terms for the people who work for your company?
"
80,ABBEY,"Thu, Oct 15, 2015, 04:00","Stock and prices improving, but have buyers been squeezed out?"," Last year the market was preoccupied by a lack of suitable family homes. Now, Central Bank lending rules and market forces have restored a normal flow of stock, but are prices beyond the reach of the average ‘trader upper’? 
"
81,ABBEY,"Fri, Sep 18, 2015, 21:07","Miriam Lord: Thomas Kent, proud patriot, home at last"," 1916 centenary beckons: ‘They really couldn’t ignore the last man shot outside Dublin’
"
82,ABBEY,"Sat, Jun 6, 2015, 01:00",Eyeballs and pigs’ heads anyone?," Lords & Ladles is a newcookery show where Irish chefs recreate what it was like to prepare food in a 17th century big house
"
83,ABBEY,"Thu, May 21, 2015, 01:00",Fears over Greek repayment  prompt  euro fall ," Comments from ECB that it might soon be bond-buying causes market jump 
"
84,ABBEY,"Sun, Apr 26, 2015, 01:47","An Easter Rising timeline: Wednesday, April 26th, 1916"," The fourth in a daily series of reportage-style pieces by the authors of When The Clock Struck in 1916 – Close-Quarter Combat in the Easter Rising
"
85,ABBEY,"Thu, Apr 23, 2015, 11:35","Shakespeare, Dickens, Wren, Austen, Hardy, Turner:  in praise of ... the English"," Eileen Battersby marks St George’s Day with a kaleidoscopic celebration of our noisy neighbour’s contribution to world culture 
"
86,ABBEY,"Sat, Apr 18, 2015, 06:00",Sweet smell of success for Richard E Grant’s perfumes," We all love Richard E Grant in his classic role ofthe acerbic, alcoholic, unemployed actor Withnail. Now the Swaziland-born movie star has reinvented himself as a hit perfumer– without giving up the day job
"
87,ABBEY,"Sat, Apr 4, 2015, 06:05","Shoptalk: Ennis, Co Clare"," Are you being served? The column that looks at stock, style and service in Irish shops
"
88,ABBEY,"Sat, Feb 28, 2015, 10:00",Shoptalk: bespoke personalised service ," Are you being served? The column that looks at stock, style and service in shops around Ireland 
"
89,ABBEY,"Sat, Feb 14, 2015, 06:00",Sunday at the Dublin Flea Market," The monthly market is where one person’s unwanted junk is another’s treasure.And you never know who you’ll meet there, on either side of the 60 stalls
"
90,ABBEY,"Fri, Jan 30, 2015, 02:00","Friday Interview: Peter Scott, managing director of Carphone Warehouse Ireland"," Marks & Spencer and Ann Summers were an unlikely route tobecoming a telecoms MD 
"
91,ABBEY,"Sat, Jan 3, 2015, 01:00",Don’t be afraid to dig deep in the garden this year," Forget turning over a new leaf, be brave and turn over a completely new garden 
"
92,ABBEY,"Thu, Dec 11, 2014, 12:00",Literary Twitterati: confusing emojis and trolls," Our weekly round-up of tweets from the book world
"
93,ABBEY,"Sat, Oct 4, 2014, 01:00",European stocks rebound on good news from US,"US jobless rate fell in September to 5.9 per cent, the lowest level since July 2008 
"
94,ABBEY,"Sat, Aug 16, 2014, 01:00",Cataloguing the Irish ‘Big House’," Auction catalogues for house contents sales rise in value and are now collectable
"
95,ABBEY,"Sat, Aug 2, 2014, 01:00",20 locations for the perfect picnic," Not only does food taste better outdoors but it tastes better when you eat with your fingers 
"
96,ABBEY,"Tue, Jul 1, 2014, 01:00",National Gallery tops list of most-visited free attraction," Museum of Style Icons in Kildare is new entry on free desinations in Ireland list
"
97,ABBEY,"Tue, Jun 3, 2014, 01:00",Epsom ground seems to be coming right for Australia," Ballydoyle trainer Aidan O’Brien bids for an historic Derby hat-trick this Saturday
"
98,ABBEY,"Mon, May 5, 2014, 01:00",Weekend in ... Cannes," The glamorous, star-friendly town is always ready for its close-up 
"
99,ABBEY,"Thu, Apr 24, 2014, 02:00",And all thy charms withdrawn," An Irishman’s Diary about historic Limerick
"
100,ABBEY,"Mon, Apr 14, 2014, 01:00",Record shops: vinyl countdown  or the start of a new groove?," Ahead of Record Store Day on Saturday, one Dublin shop is preparing to close and another is opening in Belfast. What does the future hold for bricks-and-mortar outlets? 
"
101,ABBEY,"Fri, Mar 7, 2014, 00:00",The Stag: they’re going on a beer hunt," It’s being billed as Ireland’s answer to The Hangover and it gives Andrew Scott the chance to exercise his comic chops after his turn as everyone’s favourite baddie in BBC’s smash hit Sherlock
"
102,ABBEY,"Sat, Feb 1, 2014, 01:00",Maverick Ming and a tilt at Europe ,Is Flanagan about to throw his hat in the ring? We hear he’s been testing the waters
103,ABBEY,"Fri, Nov 1, 2013, 16:47","History of the Rising, in our own words "," A project at Trinity College Dublin invites people to share family stories and documents and help put ordinary faces on the tumult of the early 20th century
"
104,ABBEY,"Sat, Sep 28, 2013, 01:00",Television: Straight from the big craic handbook of cliches," ‘London Irish’ and ‘Damo & Ivor’ scraped the barrel of laughs – but ‘The IT Crowd’ finale rebooted the genre
"
105,ABBEY,"Mon, Sep 16, 2013, 01:00",15 ways to improve Irish tourism," Irish tourism needs a new direction. We asked tourists and talkers their opinion - we want you to join in. Comment belowon whether we should have more food markets, all-night museums and or just sell walks in the rain
"
106,ABBEY,"Sat, Sep 14, 2013, 01:00",After the Gathering . . . What’s next?," Minister for Tourism Leo Varadkar is seeking suggestions for new tourism initiatives. Some entrepreneurs believe living history should be the next big thing 
"
107,ABBEY,"Sat, Aug 31, 2013, 01:00",Humble artist possessed of candid  and hauntingly lyrical epic vision," Loss of this poet will be felt throughout Ireland and far beyond
"
108,ABBEY,"Sat, Jul 13, 2013, 01:13",Cantillon: What a difference a year can make in a share price," Shares in housebuilder Abbey holding up well
"
109,ABBEY,"Fri, May 10, 2013, 02:00",Dancing from Down Under to  Dublin   ," The Dublin Dance Festival returns next week with adistinctly Australian flavour
"
110,ABBEY,"Sat, Apr 6, 2013, 06:03",A multitalented actor with star quality   ," Milo O’Shea:1926-2013
"
111,ABBEY,"Thu, Apr 4, 2013, 00:31",Can clutter become cash?   ," Well, yes, if you go about it the right way. But, be warned, it takes real effort to turn household goods into money
"
112,AIB,"Fri, Sep 27, 2019, 18:17",European shares finish week lower for first time in six weeks," Index heavyweights help Iseq to 1.25 per cent rise
"
113,AIB,"Wed, Sep 25, 2019, 20:08",European shares finish at two-week low but shave losses late on," Markets report: Ryanair one of only gainers as Iseq closes lower with most stocks in red
"
114,AIB,"Tue, Sep 24, 2019, 05:34",Eight things you need to know about your tax form for 2018," With the tax return deadline approaching it’s time to get on the case
"
115,AIB,"Mon, Sep 23, 2019, 20:38",European shares fall on poor figures from France and Germany," Mixed signals from US-China trade conflict contribute to decline
"
116,AIB,"Fri, Sep 20, 2019, 18:30",Ryanair rallies as European stocks lock in fifth week of gains," Netflix takes a battering as analysts queries international subscriber growth
"
117,AIB,"Thu, Sep 19, 2019, 18:16",Bank rally helps European shares higher," Iseq all-share index gained 0.55% on the day
"
118,AIB,"Wed, Sep 18, 2019, 18:57",European shares tread water with Fed decision looming," Dublin closes lower with banks weak and Cairn Homes among the few to stay positive
"
119,AIB,"Tue, Sep 17, 2019, 20:31","Iseq index slips into the red, dragged down by Irish banks"," BP falls 1.4% as crude prices drop amid reports Saudi oil supply could recover in weeks
"
120,AIB,"Fri, Sep 13, 2019, 05:34",`If we had defaulted how strong would EU solidarity be now?'," Friday interview: John Moran, former Department of Finance mandarin
"
121,AIB,"Thu, Sep 12, 2019, 18:18",Stocks climb on ECB move and trade progress hopes," Bond yields slip back on news of fresh European Central Bank stimulus measures
"
122,AIB,"Tue, Sep 10, 2019, 19:30",Shares jump as hard-Brexit fears recede in City," Markets report: C&C’s plan to list on London market sets drinks company’s stocks fizzing
"
123,AIB,"Fri, Sep 6, 2019, 06:00",New homes supply begins to meet demand as price growth slows," Good news for first-time buyers but affordability is still a factor - and Brexit is the fly in the ointment
"
124,AIB,"Thu, Sep 5, 2019, 17:21",Stocks hit one-month highs on news of US-China trade talks," Safe havens fall on increased risk appetite
"
125,AIB,"Thu, Sep 5, 2019, 10:51",David Duffy-led CYBG’s shares plunge amid PPI scandal fallout," Lender’s shares drop to record low amid fears over its capacity to pay dividend
"
126,AIB,"Wed, Sep 4, 2019, 19:09",Parliamentary moves against no-deal Brexit lift markets," European shares boosted by Brexit moves and formation of new Italian government
"
127,AIB,"Mon, Sep 2, 2019, 18:12",Stocks shrug off China-US trade concerns," Markets close: Iseq rises on thin volume while US markets are closed
"
128,AIB,"Fri, Aug 30, 2019, 18:38",Hopes of easing in US-China trade war push global stocks higher," Iseq ends day in positive territory, lifted by gains in building and airline stocks
"
129,AIB,"Wed, Aug 28, 2019, 21:19",Brexit-sensitive stocks fall as no-deal fears grow," US investors remain wary as country’s trade war with China drags on
"
130,AIB,"Thu, Aug 22, 2019, 18:13",European shares end lower in choppy session," Spanish banks rise on bullish HSBC note
"
131,AIB,"Wed, Aug 21, 2019, 18:09",Bounce in European shares as investors eye Fed minutes," Iseq climbs 1.79 per cent on Kingspan and CRH share price rises
"
132,AIB,"Fri, Aug 16, 2019, 18:41",German budget flexibility helps European markets," Irish banks boosted after period of underperformance
"
133,AIB,"Wed, Aug 14, 2019, 18:39",European shares slide to six-month low as recession fears rise," CBOE Volatility index, also known as Wall Street’s ‘fear gauge’, rises 4.08 points
"
134,AIB,"Mon, Aug 12, 2019, 20:19",Stocks decline over trade and growth concerns," In Dublin, the Iseq index closed down 0.3 per cent, with financial stocks declining again
"
135,AIB,"Wed, Aug 7, 2019, 01:04",AIB may buy back €500m of State shares in 2021," Recent slump in the bank’s share price has pushed out the timeline of special buyback
"
136,AIB,"Tue, Aug 6, 2019, 02:35",Former AIB CFO plans €800m Portuguese assets and loans sale," Mark Bourke took over as finance head at Novo Banco earlier this year
"
137,AIB,"Mon, Aug 5, 2019, 18:42",European stocks dive to two-month lows on China worries," Shares of video-game makers down as Trump blames industry for gun violence
"
138,AIB,"Thu, Aug 1, 2019, 19:58",British American Tobacco and financials lift European stocks," Glanbia still in negative territory as banks slip back, while FBD and Smurfit Kappa gain
"
139,AIB,"Mon, Jul 29, 2019, 12:18",PTSB directors buy first shares since financial crisis," Shares in the bank have fallen by 75% since sale of a 25% stake on stock market in 2015
"
140,AIB,"Fri, Jul 26, 2019, 18:03",European stocks rise amid record highs on Wall Street," Vodafone surge and US earnings lend support to equities in final session of week
"
141,AIB,"Fri, Jul 26, 2019, 16:38",Lower ECB rates leave Irish taxpayers stuck with our banks," Euro-zone economy remains in malaise as Draghi enters twilight of his tenure
"
142,AIB,"Thu, Jul 25, 2019, 19:36","Markets fall as ECB holds off on rate cut, signalling September move"," Markets report: CRH boosted as US rivals outperform with results
"
143,AIB,"Wed, Jul 24, 2019, 18:23",European stocks hold steady on stimulus hopes," Markets report: Iseq nudged slightly upwards on a day of modest gains
"
144,AIB,"Mon, Jul 22, 2019, 19:19",Markets quiet as traders tread water ahead of ECB meeting," Market report: Facebook, Amazon and Google parent Alphabet set to report results
"
145,AIB,"Mon, Jul 22, 2019, 10:04",Minister pours cold water on lifting of bankers’ pay cap," Further sales of State holdings in Irish banks put on hold until after Brexit
"
146,AIB,"Fri, Jul 19, 2019, 18:22",European shares close off highs on Italian political woes," Irish banking shares amongst the worst performers as the Iseq drops
"
147,AIB,"Thu, Jul 18, 2019, 18:49","Poor results, profit warnings and economic fears overshadow Europe’s markets"," Ryanair shares fall as EasyJet confirms it is hiring Irish carrier’s outgoing chief operating officer, Peter Bellew
"
148,AIB,"Thu, Jul 18, 2019, 11:30","Google reveals plans to build 15,000 homes in San Francisco"," Three new communities to be delivered on global tech giant’s landholdings
"
149,AIB,"Wed, Jul 17, 2019, 18:38",European shares edge lower amid trade tensions," Iseq underperforms peers with 1 per cent drop
"
150,AIB,"Mon, Jul 15, 2019, 19:08",London’s week-long losing streak ends on strong Chinese growth," China figures lift European markets and ease investor concerns over global slowdown
"
151,AIB,"Sat, Jul 13, 2019, 03:45","1,100 pharmacists to hold €112m Uniphar stake on flotation"," Drugs distribution business says it has raised €135m in an IPO of shares at €1.15 each
"
152,AIB,"Fri, Jul 12, 2019, 19:41",Markets sound cautious note as FTSE hits week-long losing streak," Talk of interest rate cut keeps US markets buoyant, but data from China disappoints
"
153,AIB,"Thu, Jul 11, 2019, 19:10",Markets dip in Europe as US rate cut euphoria ebbs," Ryanair recovers from turbulence over executive departures and warnings on routes
"
154,AIB,"Tue, Jul 9, 2019, 05:30",Institutional investors: villains or heroes of housing woes?," Cantillon: AIB and Davy positive about impact of giant investors in rental market
"
155,AIB,"Tue, Jul 9, 2019, 05:00",CYBG may bow to investor ire over David Duffy bonus plan," The Irishman’s remuneration could soar to as much as €4.73m
"
156,AIB,"Mon, Jul 8, 2019, 19:59",European shares dip as Deutsche Bank overhaul weighs on banks," Iseq drops 0.4%, although Permanent TSB rises 5.1 per cent to €1.32
"
157,AIB,"Mon, Jul 8, 2019, 12:06",Large-scale investors: the cause or the solution to our housing woes?," Reports claim funds are not cause of high rents and may be key to unlocking supply
"
158,AIB,"Fri, Jun 28, 2019, 18:01",European shares notch best first-half gain in two decades," Markets close: Dublin market end higher with the main movers including C&C, Ryanair and Flutter
"
159,AIB,"Wed, Jun 26, 2019, 18:54",European stocks fall for fourth day," Markets close: Iseq bucks trend with slight rise
"
160,AIB,"Tue, Jun 25, 2019, 17:57",Middle East sanctions trouble stock markets," Irish shares outperform European peers as trade jitters hit markets
"
161,AIB,"Mon, Jun 24, 2019, 17:48",European stocks end strong streak after weak German data," Investors hedge bets ahead of expected US-China trade talks on sidelines of G20
"
162,AIB,"Fri, Jun 21, 2019, 15:56",Ban on bank bonuses works against hunt for Brexodus jobs," Toxic legacies of crash and tracker-mortgage scandal have yet to dissipate
"
163,AIB,"Thu, Jun 20, 2019, 18:06",Markets hit six-week highs on rates and trade talks optimism," Markets close: Iseq advances but financial stocks weaker
"
164,AIB,"Tue, Jun 18, 2019, 17:48",Draghi stimulus hints send European stocks higher," Iseq underperforms European peers but rises almost 0.7% on the day
"
165,AIB,"Mon, Jun 17, 2019, 18:30",Markets await clues from US Fed on policy direction," Markets report: Profit warning from Germany’s Lufthansa weighed on airline stocks
"
166,AIB,"Thu, Jun 13, 2019, 10:13",Ires Reit raises €134.2m to help buy 815 apartments," State’s largest residential landlord has also exercised an option to extend committed credit facilities to €600m
"
167,AIB,"Wed, Jun 12, 2019, 18:37",European shares drop on weak Chinese data and trade fears," Iseq drops 1.5% as CRH pulls back in line with a broad sell-off by European and US peers
"
168,AIB,"Tue, Jun 11, 2019, 18:35",Investor sentiment rises on hopes of monetary stimulus," Iseq performed in line with European peers, rose 0.34%
"
169,AIB,"Thu, Jun 6, 2019, 19:07",ECB rates freeze leads euro zone shares to underperform their peers," Markets report: In the UK, tobacco company Imperial Brands jumped 5.7% on its best day in more than a year
"
