Political_ID,Name_Political,Date_Political,Headline_Political,Description_Political
37,government+policy,"Thu, Jul 11, 2019, 10:57",NTMA sells 10-year bonds at record-low 0.136% rate," Rate reflects growing expectations the ECB and other major central banks are on track to cut rates
            "
38,government+policy,"Wed, Jul 10, 2019, 10:15","Ireland’s economic outlook ‘clouded in uncertainty’, EU warns"," If Brexit or tax reform don’t undermine growth, economy is at risk of overheating
            "
39,government+policy,"Tue, Jul 9, 2019, 05:45",Lagarde to lean on Lane at ECB," Cantillon: Surprise nomination has market participants scrambling to review her monetary policy musings
            "
40,government+policy,"Mon, Jul 8, 2019, 06:53",Turkish lira weakens 2.1% after central bank governor dismissed," Concern that monetary policy will be eased too quickly as president dismisses governor
            "
41,government+policy,"Fri, Jul 5, 2019, 18:46",Carney the early front-runner as Europe’s candidate for IMF," European governments actively discussing nomination of departing Bank of England governor
            "
42,government+policy,"Fri, Jul 5, 2019, 11:56",German manufacturing sinks as demand shrinks," Expectations are ECB will revive stimulus
            "
43,government+policy,"Fri, Jul 5, 2019, 05:27",Brexit binds Ireland closer to Germany in pushing ambitious joint agenda," Whether for inward investment, exports or tourism, Germany is a top five country for Ireland with potential for much more
            "
44,government+policy,"Wed, Jul 3, 2019, 18:24",Irish long-term interest rates hit record low," Bond investors cheer Christine Lagarde’s nomination for ECB presidency
            "
45,government+policy,"Tue, Jul 2, 2019, 05:45","Tax strategy group eyes property funds, gambling and carbon tax"," Review to consider impact of foreign institutional investors buying up Irish property
            "
46,government+policy,"Fri, Jun 28, 2019, 05:58",John FitzGerald: Budget 2020 proposals may not be the right answer," Pumping money into construction will lead to price rises, not increased supply
            "
47,government+policy,"Tue, Jun 18, 2019, 06:30","Banker accountability, a new energy provider and credit union saving caps explained"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
48,government+policy,"Fri, Jun 7, 2019, 05:34",Will the Irish economy go Dutch after Brexit?," State visit next week of king lays groundwork for deeper economic co-operation
            "
49,government+policy,"Tue, May 21, 2019, 10:00","Irish property market at risk of new boom to bust cycle, OECD warns"," Disorderly Brexit ‘could plunge the economy into a recession’
            "
50,government+policy,"Fri, May 17, 2019, 05:40",How do you raise carbon taxes without hitting labourers more than lawyers?," Caveat: Good luck with handling this one in October’s budget, Paschal Donohoe
            "
51,government+policy,"Mon, May 13, 2019, 17:09",US-China trade war: What the hell has just happened?," Q&A: China’s retaliatory tariffs on US goods is the most serious turn in the dispute so far
            "
52,government+policy,"Fri, May 10, 2019, 16:03",IMF seeks healthcare review to avoid spending overruns," Report also suggests further limits to consumer borrowing
            "
53,government+policy,"Thu, May 9, 2019, 06:39",NTMA’s €3bn market dash no-brainer as yields tumble," The yield on Ireland’s benchmark 10-year bonds has fallen below 0.5 per cent this week.
            "
54,government+policy,"Tue, May 7, 2019, 13:01","State’s GDP growth to slow to 3.8%, EU forecast warns"," European Commission predicts 3.4% rate in 2020
            "
55,government+policy,"Wed, May 1, 2019, 13:42",New Zealand treasury head Gabriel Makhlouf new Central Bank governor," A number of domestic candidates had sought position
            "
56,government+policy,"Thu, Apr 18, 2019, 11:27",Ireland has to move on carbon tax – why are we still arguing about it?," Smart Money: We need to cut emissions and avoid big fines – but politicians are nervous
                    "
57,government+policy,"Wed, Apr 17, 2019, 07:25",China’s economic growth unexpectedly steadies," But experts say it is too early to call a recovery
            "
58,government+policy,"Fri, Apr 12, 2019, 05:15",'Thundering disgrace' - Business hits out at North’s lack of Brexit influence," CBI regional chief Angela McGowan is concerned for future of North’s economy
            "
59,government+policy,"Wed, Apr 3, 2019, 18:39",China’s economy stabilising but risks lie ahead," Martin Wolf: Doubts linger about President Xi’s commitment to private enterprise
            "
60,government+policy,"Thu, Mar 28, 2019, 16:28","S&P cuts euro zone growth forecast, citing weaker global trade"," Agency also says ECB not likely to start raising rates until January 2020
            "
61,government+policy,"Thu, Mar 28, 2019, 05:17",China’s economic performance ‘stable’ says premier," Government plans to stick with strategy of targeted policy support
            "
62,government+policy,"Sat, Mar 23, 2019, 08:07",The next Central Bank governor must keep telling politicians to take a hike," Before the last crash, the occupant of the governor’s chair was usually a retired apparatchik from the Department of Finance
            "
63,government+policy,"Wed, Mar 13, 2019, 10:57",Northern businesses have been ‘hung out to dry’," Industry leaders warn of potential for chaos and increased lawlessness around Border
            "
64,government+policy,"Tue, Mar 5, 2019, 12:08",China sets lower GDP target as US trade war bites," Corporate defaults are on the rise and bad debt at banks is reaching a level not seen in nearly 20 years
            "
65,government+policy,"Tue, Mar 5, 2019, 07:33","China to slash taxes, boost lending to prop up slowing economy"," Government is targeting economic growth of 6.0 to 6.5% in 2019
            "
66,government+policy,"Sat, Mar 2, 2019, 05:55",A disappointing week for all three of the Republic’s pillar banks," Business week: Eir’s customer service comes under fire, decreasing appetite for luxury homes and foldable phones
            "
67,government+policy,"Thu, Feb 28, 2019, 05:41",UK trade policy for food after Brexit throws up three scenarios," The imposition of full WTO tariffs on all imports would cause huge problems for our beef and dairy sectors
            "
68,government+policy,"Wed, Feb 27, 2019, 11:49","Irish housing policy aggravating homelessness, says EU Commission"," Brussels says rising rents and insufficient construction behind more homelessness
            "
69,government+policy,"Wed, Feb 20, 2019, 05:45",Germany and France say EU ‘champions’ needed to take on Chinese and US rivals," The aim is to protect the EU’s industrial base from what is seen as predatory competition from China and threats from trade wars
            "
70,government+policy,"Fri, Feb 8, 2019, 11:56",Children's hospital: A spectacular example of how things can go wrong," Smart Money: All the classic project overrun mistakes are evident in this debacle
                    "
71,government+policy,"Thu, Feb 7, 2019, 12:21",Government urged to rethink housing policy as Brexit nears," Oireachtas report criticises aspects of Government policy, including HAP scheme
            "
72,government+policy,"Fri, Feb 1, 2019, 16:00",Californian and Mexican businesses struggle with border uncertainty," Closure of San Ysidro border crossing last year has led to financial hardship for many
            "
73,government+policy,"Fri, Feb 1, 2019, 05:35",Lifting of US sanctions on Aughinish brings relief and controversy," Democrats query Trump’s connection to the Russian owner of Shannon alumina plant
            "
74,government+policy,"Fri, Feb 1, 2019, 05:20",John FitzGerald: No-deal Brexit would make Budget 2019 look prescient," Instead of fuelling the boom the Government should be saving for future shocks
            "
75,government+policy,"Wed, Jan 23, 2019, 11:58",Is there any way to avoid a hard Border in a no-deal Brexit?," If UK imports chlorine-washed chicken from US, what stops it entering Irish and EU markets without checks?
            "
76,government+policy,"Tue, Jan 22, 2019, 11:45",China’s growth slowdown ‘not going to be a disaster’," Davos 2019: Beijing can still ‘leverage a lot’ to expand fiscal policy
            "
77,government+policy,"Mon, Jan 21, 2019, 11:43",How the different Brexit options would affect UK," The choices range from staying put to no-deal with Canada-style agreement and Norway plus in the mix
            "
78,government+policy,"Wed, Jan 16, 2019, 06:30","May loses Brexit vote, Ireland rejects EU tax plans, and Datalex shares fall 59%"," Business Today: the best news, analysis and comment from ‘The Irish Times’ business desk
            "
79,government+policy,"Fri, Jan 11, 2019, 07:00",China to lower GDP growth target as trade war rumbles on," As the world’s second-largest economy loses steam, all eyes on employment levels
            "
80,government+policy,"Fri, Dec 28, 2018, 05:29",It may be decades before real house prices again rise strongly," While fiscal issues remain, we do not live in the dystopia described in too many articles
                    "
81,government+policy,"Thu, Dec 27, 2018, 13:00","Finland’s Erkki Liikanen most likely to head ECB, say economists"," Central banker who played key post-crisis role seen as favourite for top job
            "
82,government+policy,"Sun, Dec 23, 2018, 11:58",Good tidings: Ireland offers a haven from the populist plague," Immigration is blamed for problems it never causes and rarely gets credit for its benefits
            "
83,government+policy,"Sat, Dec 22, 2018, 12:01",Donald Trump has discussed firing Fed Chief Jerome Powell - reports," Any attempt by Trump to fire Fed chief could have devastating effects across markets
            "
84,government+policy,"Fri, Dec 21, 2018, 05:28","Glitter bombs, nativity bottoms and second referendum backers"," Planet Business: Out of the ‘swamp’, into the bleak midwinter
            "
85,government+policy,"Fri, Dec 14, 2018, 12:47",Chinese data show economy slowing despite stimulus," Chinese retail sales grow at slowest pace in 15 years
            "
86,government+policy,"Sun, Dec 9, 2018, 13:24","Crunch Brexit vote to proceed, insists UK exit minister"," Seen & Heard: Stephen Barclay rejects reports that May is seeking to delay vote
            "
87,government+policy,"Mon, Dec 3, 2018, 11:51",UK politics struggles with the idea of being ‘trapped’ in the backstop," Cliff Taylor: Latest legal document highlights reality of the Irish Border backstop
            "
88,government+policy,"Fri, Nov 30, 2018, 05:40",Is the Government going for broke again?," Budgetary watchdog stops just short of accusation that recovery is being squandered
            "
89,government+policy,"Wed, Nov 28, 2018, 17:33",Trump steps up attack on Federal Reserve’s monetary policy," President believes raising of rates is choking off economic boom
            "
90,government+policy,"Sun, Nov 25, 2018, 19:42",Brexit bedlam consolidates support for EU and euro in Republic," Eurobarometer survey shows overwhelming majority believe euro has been good for State
            "
91,government+policy,"Wed, Nov 21, 2018, 05:00","Foreign workers are required to meet housing targets, says ESRI"," Think-tank warns of accommodation and rent cost issues around inflow of labour
            "
92,government+policy,"Mon, Nov 12, 2018, 10:28",Ibec predicts slowdown in growth and warns on Brexit," Business lobby group also expresses concern in relation to State’s corporate tax reliance
            "
93,government+policy,"Thu, Nov 8, 2018, 10:01",European Commission in fresh warning on Irish corporation tax base," Autumn outlook flags uncertainty ‘of some sources of government revenue’
            "
94,government+policy,"Wed, Nov 7, 2018, 14:20",Self-employed tax credit to equal employee credit in Budget 2020," Donohoe said he plans to raise credit if still Minister next year
            "
95,government+policy,"Wed, Nov 7, 2018, 07:06","Goodbody upgrades economic forecast, but warns of Brexit ‘uncertainty’"," Irish economy performing ‘well ahead of expectations’, though housing still an issue
            "
96,government+policy,"Sun, Oct 28, 2018, 13:21",Alarm as workers seek a bigger slice of economic pie," Trump’s economic advisers see reds under every bed, a sign power elites are worried
            "
97,government+policy,"Fri, Oct 26, 2018, 00:01",State watchdog says North ‘not fully ready’ for no-deal Brexit," Managing director of meat processor Kepak Group says company has bought two businesses in the UK to maintain its supply chain
            "
98,government+policy,"Thu, Oct 25, 2018, 13:23",ECB leaves room for interest rate increase late next year," Bank said it will cap bond-buying by year-end
            "
99,government+policy,"Tue, Oct 23, 2018, 18:57",UK readies flotilla plan for supplies in no-deal Brexit," UK government looks at chartering ships to ferry in critical food and medicines
            "
100,government+policy,"Fri, Oct 19, 2018, 05:40",Irish firms are struggling to prepare for life after Brexit," Cliff Taylor: Businesses have faced uncertainty since the vote in the summer of 2016 
            "
101,government+policy,"Thu, Oct 11, 2018, 02:37",Higher taxes in hospitality and other sectors have made us less competitive," We must invest more in areas which underpin productivity; talent and higher education must be prioritised
            "
102,government+policy,"Mon, Oct 8, 2018, 05:45",Housing experts warn Government against short-term measures to address crisis," More incentives for buyers will only inflate land values, say experts ahead of budget day
            "
103,government+policy,"Fri, Sep 28, 2018, 05:45",Patrick Honohan: ‘Many people thought it was too good to be true – and it was’," There were few options in 2008 'and that was fault of Dame St, not Leinster House'
            "
104,government+policy,"Wed, Sep 26, 2018, 14:33",Donohoe warns of need to use Budget 2019 to protect against shocks," Minister for Finance tells committee housing crisis ‘weighs very heavily’ upon him
            "
105,government+policy,"Tue, Sep 25, 2018, 18:09",Argentina central bank chief resigns," Peso tumbles almost 4 per cent against the dollar on the news Luis Caputo to step down
            "
106,government+policy,"Thu, Sep 20, 2018, 10:33","Global economic growth has peaked, OECD says"," Paris-based policy forum cut GDP growth projections from 3.8% to 3.7%
            "
107,government+policy,"Thu, Sep 20, 2018, 09:46",Five things you need to know about why the Irish Border is blocking a Brexit deal," Smart Money: Everything you wanted to know about the Border question, but were afraid to ask
                    "
108,government+policy,"Sun, Sep 16, 2018, 15:05","Government policy making housing crisis worse, expert claims"," UCD academic Orla Hegarty says Goverment ‘policy tweaks’ is fuelling land speculation
            "
109,government+policy,"Fri, Sep 14, 2018, 12:09",Bank of England governor Mark Carney: ‘Assume things will go wrong’," UK regulator confident of financial system’s ability to withstand a ‘disorderly’ Brexit
            "
110,government+policy,"Fri, Sep 14, 2018, 05:21",How Ireland’s property crisis is affecting the real economy," Housing issue is affecting disposable income, mobility, competitiveness and quality of life
                    "
111,government+policy,"Fri, Sep 14, 2018, 05:15",State continues to demolish viable housing stock instead of repairing it," Government should address housing shortages and climate change at the same time
            "
112,government+policy,"Thu, Sep 13, 2018, 13:07",Turkish central bank raises rates to stem currency crisis," Inflation in Turkey has soared, nearing 18% last month
            "
113,government+policy,"Thu, Sep 13, 2018, 10:26",State sells €1bn of bonds ahead of ECB meeting," NTMA has now raised €13.5bn of its full-year targeted range of €14bn-€18bn
            "
114,government+policy,"Thu, Sep 13, 2018, 08:50",ECB stays on course to curb stimulus," Bank keeps policy unchanged, says interest rates to stay flat until at least through next summer
            "
115,government+policy,"Wed, Sep 12, 2018, 09:33","EU should scrap national vetoes on tax, says Juncker"," Commission president’s comments likely to cause disquiet within Government
            "
116,government+policy,"Sun, Sep 2, 2018, 13:21",Chris Johns: Stalling house prices are a good thing," Overvalued house prices are pernicious but try getting vested interests to admit that
            "
117,government+policy,"Fri, Aug 31, 2018, 06:44",Trump threatens to pull out of World Trade Organisation," Trump also declared China won’t outlast the US in the trade war between the superpowers
            "
118,government+policy,"Fri, Aug 31, 2018, 05:30",Danny McCoy tunes up for Ibec to perform on a bigger stage," CEO wants to expand organisation overseas as business becomes more ‘internationalised’
            "
119,government+policy,"Thu, Aug 30, 2018, 06:18",Argentina raises interest rates to 60%," IMF studying Argentina request for early help as peso crashes
            "
120,government+policy,"Sun, Aug 26, 2018, 12:55",Winner-takes-all mentality is not good for society," Chris Johns: The bonus paid to Apple’s Tim Cook shines a light on the inequality issue
            "
121,government+policy,"Thu, Aug 23, 2018, 12:50",Investors losing faith in State’s education credentials – Ibec," Employers’ group says projects being lost because of lack of funding for higher education
            "
122,government+policy,"Mon, Aug 20, 2018, 02:35","As economy worries mount, Turkey prepares to battle it out"," President Erdogan turns ire on ubiquitous iPhone, symbolic of muscular US trade policy
            "
123,government+policy,"Mon, Aug 20, 2018, 02:05","Economy set to grow despite external threats, says Ibec"," As UK set to outline plans for no deal, survey finds Irish businesses unprepared for Brexit
            "
124,government+policy,"Tue, Aug 14, 2018, 10:13",Turkey set to ban sale of iPhones as trade dispute with US deepens," President Erdogan says Turkey will boycott US electronic products in latest retaliation
            "
125,government+policy,"Thu, Aug 9, 2018, 21:13",Diplomatic rift with Washington drives Turkish lira to fresh low," Currency down 30 per cent in 2018 as US meeting fails to progress sanctions dispute
            "
126,government+policy,"Wed, Aug 1, 2018, 03:10",Economy flying on one engine towards stormy Brexit," Cliff Taylor: No quick fix to our economic reliance on handful of big players
            "
127,government+policy,"Mon, Jul 16, 2018, 15:00",IMF warns escalating trade tensions cloud outlook for global economy," Washington DC-based fund says trade war could derail recovery and halt two-year upswing
            "
128,government+policy,"Mon, Jul 16, 2018, 08:22",China GDP growth softens as trade row stirs concerns," World’s second largest economy grew 6.7% in the last quarter
            "
129,government+policy,"Mon, Jul 16, 2018, 04:15",‘Rainy day’ money should be redirected into education – Ibec," Business lobby says easing third-level funding crisis would be wiser use of fund
            "
130,government+policy,"Sun, Jul 15, 2018, 12:48",Trump and global leaders show deep ignorance of history," Chris Johns: US president’s mistaken analysis of China’s trade surplus risks carnage
            "
131,government+policy,"Fri, Jul 13, 2018, 05:40",Irish SMEs face hardship amid rising business costs," Commercial rates, insurance and access to banking service identified as chief concerns in new Oireachtas report
            "
132,government+policy,"Mon, Jul 9, 2018, 04:30","Majority of school-goers will work in jobs that don’t currently exist, Ibec says"," Digitalisation and changing lifestyles are transforming careers, says lobbying group
            "
133,government+policy,"Thu, Jun 28, 2018, 15:00",IMF says Ireland should reduce bank stakes and boost housing," Fund warns in its annual assessment that the Government should guard against boom-bust dynamics
            "
134,government+policy,"Thu, Jun 14, 2018, 21:20","New homes overstated by nearly 60%, CSO figures show"," Fewer than 15,000 dwellings built in Republic last year, new figures reveal
            "
135,government+policy,"Wed, Jun 13, 2018, 01:00","Council paying rents up to €2,800 a month for affordable housing"," Rising HAP payments seen by some as another inflationary pressure on rental market
            "
136,government+policy,"Fri, Jun 8, 2018, 04:05",Italy using EU as a scapegoat can be an obstacle to deep reform," Italy has the largest absolute debt load of any EU country, and the third largest in the world
            "
137,government+policy,"Wed, Jun 6, 2018, 18:02","Resilience of Irish bonds evidence of financial strength, says Donohoe"," Minister highlights performance of bonds in wake of recent market turbulence
            "
138,government+policy,"Wed, Jun 6, 2018, 09:57",ECB close to settling question of bond-buying programme," Upcoming policy meeting pivotal for reaching decision on QE, ECB chief economist says
            "
139,government+policy,"Mon, Jun 4, 2018, 06:00",Ibec spent €1.3m lobbying in the EU last year," Irish body third biggest spender on lobbying in EU, behind two groups in Germany
            "
140,government+policy,"Thu, May 31, 2018, 05:00","High debt levels could damage Ireland’s economic prospects, OECD warns"," Agency says high private debt levels left State ‘sensitive to rising interest rates’
            "
141,government+policy,"Tue, May 29, 2018, 12:27",Italian bonds suffer rout as political turmoil intensifies," Investors have been selling Italy’s bonds and equities
            "
142,government+policy,"Mon, May 28, 2018, 09:36",Markets hit as Carlo Cottarelli named as Italy’s new prime minister," Former IMF official to run technocratic government after collapse of populist coalition
            "
143,government+policy,"Tue, May 22, 2018, 12:33",Recovery of housing market not (yet) cause for concern – Moody’s," Growth forecast for Irish economy upgraded to 5% but house prices ‘warrant close monitoring’
            "
144,government+policy,"Thu, May 17, 2018, 04:50",Nine social houses does not a housing policy make," Cantillon: Fanfare around Fingal launch reflects State failure to deal with homes crisis
            "
145,government+policy,"Mon, May 14, 2018, 16:02",IMF urges Government not to cut taxes in budget," Fund calls for tighter fiscal stance to offset potential future shocks to economy
            "
146,government+policy,"Fri, May 11, 2018, 01:00",Encouraging more women into the workforce would benefit economy," Also encouraging people with disabilities would enhance capacity of Irish economy
            "
147,government+policy,"Wed, May 9, 2018, 00:01",Border not ‘insoluble obstacle to Brexit negotiations it has been made out to be’," Policy Exchange paper claims frictionless border in Ireland entirely possible
            "
148,government+policy,"Fri, May 4, 2018, 15:52",US job growth rebounds modestly; unemployment rate falls," Unemployment rate drops to 3.9% from 4.1% as average hourly earnings rise
            "
149,government+policy,"Thu, May 3, 2018, 10:50",EU upgrades Irish economy but warns of risks," Spring forecasts see Brussels raise 2018 growth projection to 5.7%
            "
150,government+policy,"Wed, May 2, 2018, 16:30",Government tax revenues €202m below target in April," Department of Finance expects shortfall to unwind before end of the year
            "
151,government+policy,"Fri, Apr 27, 2018, 17:44",‘Goldilocks’ Irish economy faces numerous threats - NTMA chief," State still borrowing money just to pay interest costs, event told
            "
152,government+policy,"Mon, Apr 23, 2018, 12:17",US government bonds approach major milestones," Uutlook for at least two and possibly three more rate rises this year has lifted yield on the more policy-sensitive two-year bonds
            "
153,government+policy,"Wed, Apr 18, 2018, 15:00","Global growth is built, alas, on shaky foundations"," Martin Wolf: There are many variables which could undermine the fragile recovery
            "
154,government+policy,"Wed, Apr 18, 2018, 11:00",UK inflation unexpectedly cools to one-year low of 2.5%," Shift raises doubts over whether Bank of England will raise interest rates in May
            "
155,government+policy,"Fri, Apr 13, 2018, 05:59",Tighter focus means National Planning Framework more likely to deliver," Only by understanding the preferences of people and business can public policy influence development
            "
156,government+policy,"Wed, Apr 11, 2018, 05:00",House prices forecast to rise by 10% in 2018," Friends First economist Jim Power sees no sign of slowdown in property market
            "
157,government+policy,"Tue, Apr 10, 2018, 05:17",NTMA filling its boots with cheap money," Cantillon: State agency prepares to raise €3bn by selling a 15-year bond to investors
            "
158,government+policy,"Sun, Apr 8, 2018, 18:28",Xi Jinping to outline economic reforms amid trade tension," Trump trade tariffs limit room for manoeuvre as hardliners argue against change
            "
159,government+policy,"Mon, Apr 2, 2018, 12:43",May has plans for ‘customs partnership’ to solve Border dilemma," Trade experts say proposed scheme is challenging and would take years to implement
            "
160,government+policy,"Sat, Mar 31, 2018, 05:00",Savills says no need for incentives on property purchase," Company says no evidence that investment is being choked off by higher costs
            "
161,government+policy,"Sat, Mar 24, 2018, 08:10",General higher rates may undo new dawn for variable mortgage holders," Wedge between rates here and elsewhere may shrink just as ECB starts raising rates
            "
162,government+policy,"Fri, Mar 23, 2018, 08:43",Stocks find some support after China-linked jitters," Beijing responds to Trump move by unveiling plans for tariffs on US imports
            "
163,government+policy,"Wed, Mar 21, 2018, 16:15",What to look for at the Federal Reserve meeting," Jay Powell is widely expected to preside over his first interest rate increase
            "
164,government+policy,"Fri, Mar 16, 2018, 16:56",Meet the Brexit negotiators: David Davis and Michel Barnier," The men in charge of negotiating Britain’s exit from the EU are divided by culture, politics and personality but united on one thing — they need to finish the job
            "
165,government+policy,"Mon, Mar 12, 2018, 06:41",Multinationals pay lower taxes than a decade ago," Effective rates have fallen 9 per cent since the financial crisis
            "
166,government+policy,"Fri, Mar 9, 2018, 06:35",New data protection regime could hamper vital research," Without access to proper data wrong policy levers might be applied
            "
167,government+policy,"Mon, Mar 5, 2018, 21:06",China targets GDP growth of 6.5% while moving to cut debt," Premier Li wary of looming trade war with US as he targets risks to financial system in opening work report
            "
168,government+policy,"Tue, Feb 27, 2018, 12:02",Fed chairman’s gradualist approach about to be tested," Janet Yellen’s succesor Jerome Powell has to deal with stock market volatility and inflation fears
            "
169,government+policy,"Mon, Feb 26, 2018, 13:41",Jeremy Corbyn ups the Brexit ante with customs stance," Cliff Taylor: For Irish businesses trying to plan for Brexit, the likely outcome here is still as clear as mud and the risk of a hard Brexit remains
            "
170,government+policy,"Thu, Feb 22, 2018, 10:24","Brexit solution that avoids hard Border is possible, says James Wharton"," Keeping North within customs union irreconcilable with UK position, says ex-minister
            "
171,government+policy,"Wed, Feb 21, 2018, 16:10",Britain’s Brexit destiny is to become Canada," Whatever way it is sliced and diced, the UK will become a mid-table satellite of the EU, just like Canada is to the US
            "
172,government+policy,"Wed, Feb 21, 2018, 05:30",Economy forecast to grow by stronger-than-expected 4.7% this year," Bank of Ireland’s prediction more than one percentage point higher than official forecast
            "
