Social_ID,Name_Social,Date_Social,Headline_Social,Description_Social
64,Population+growth+rate,"Nov 25, 2016",Japan eyes only modest spending rise next year," PM seeks to both bolster growth and rein in the developed world’s heaviest debt burden   
            "
65,Population+growth+rate,"Oct 11, 2016",Budget 2017 town: what Dún Laoghaire thinks of the budget," VAT for hospitality welcomed; house price worries; pension hike dismissed as politics    
            "
66,Population+growth+rate,"Oct 7, 2016",Budget 2017: the crunch points,"   Next week’s budget will be no giveaway and is likely to leave the public distinctly underwhelmed 
            "
67,Population+growth+rate,"Sep 21, 2016",OECD warns governments of ‘low-growth trap’," Global growth set to remain at about 3 per cent this year and next   
            "
68,Population+growth+rate,"Aug 26, 2016",Fed’s Janet Yellen says case for US rate hike has strengthened," Case bolstered by improving labour market conditions  and economic growth expectations    
            "
69,Population+growth+rate,"Aug 23, 2016",Jobs growth in Ireland turns off emigration tap," CSO shows more people arriving than leaving for first time since 2009 with 2.2m in work   
            "
70,Population+growth+rate,"Aug 23, 2016",Number working in Ireland passes two million for first time since 2009," Unemployment fell by 23,400 in year to  end of June, lowering total to 187,800   
            "
71,Population+growth+rate,"Jul 5, 2016",Analysis: Assault on full-employment may be held up by   migration," Returning emigrants to expand workforce and slow downward trend in unemployment   
            "
72,Population+growth+rate,"Jun 1, 2016",US employment data to influence Fed rate decision," Markets gear up for summer hike   
            "
73,Population+growth+rate,"May 24, 2016",Economist Brendan Walsh inspired generations of students ," Brendan Walsh was a sharp analyst of Irish economics and society    
            "
74,Population+growth+rate,"May 18, 2016",Government spending plans may fall foul of EU - Ibec," Employers’ group says capital spending proposals could break fiscal rules    
            "
75,Population+growth+rate,"May 6, 2016",Lifting sanctions on Iran opens up business opportunities ," Trade missions beating a path to Tehran as country’s economy on road to  recovery   
            "
76,Population+growth+rate,"Mar 4, 2016","US job numbers increased by 242,000 last month"," Employment data reinforces economy’s strength, easing fears of recession   
            "
77,Population+growth+rate,"Feb 5, 2016","US job growth slows, unemployment rate at 8-year low"," Nonfarm payrolls rose by 151,000 jobs last month,  unemployment rate  at 4.9%   
            "
78,Population+growth+rate,"Feb 4, 2016",FG economic plan: Do the numbers add up?," Plan is based on 4.3% GDP growth in 2016 and 3.6%  in 2017, down from 7% last year   
            "
79,Population+growth+rate,"Jan 15, 2016",China is facing into a period of  painful economic adjustments ,"   The Chinese government is trying to sell the idea of slower, consumption and services-based growth 
            "
80,Population+growth+rate,"Jan 8, 2016",Philip Lane interview: edited transcript," The Central Bank governor spoke to Arthur Beesley, economics editor of The  Irish Times   
            "
81,Population+growth+rate,"Jan 8, 2016",Governing hand: Philip Lane takes charge of Central Bank in recovering economy," Interview: Mortgage limits may go up or down but the new era of credit control is here to stay, says governor of the Central Bank Philip Lane   
            "
82,Population+growth+rate,"Jan 7, 2016",Euro zone unemployment at lowest rate in over four years," Spain and Greece fall outside the overall positive trend   
            "
83,Population+growth+rate,"Oct 22, 2015","ECB to stay put, keep door open for more stimulus"," Economic growth is slowing again, with even  Germany seeing a recent string of poor data   
            "
84,Population+growth+rate,"Oct 13, 2015",Brendan Howlin: Full Budget 2016 speech," ‘Today, we reap the benefits of the hard work and resilience of the Irish people’   
            "
85,Population+growth+rate,"Sep 7, 2015",G20 tries to dispel fears over China,"   Worry over US-China links remains despite support for Beijing from EU ministers  
            "
86,Population+growth+rate,"Aug 12, 2015",UN forecasts end of global population explosion ," Declining fertility rates everywhere suggest figure could stabilise within decades   
            "
87,Population+growth+rate,"Aug 7, 2015",Improving US jobs market supportive of Fed rate hike," Unemployment rate holds steady at 5.3% in month of July   
            "
88,Population+growth+rate,"Jul 8, 2015",China Crisis: Collapse may be correction to classic bubble," The real question is how much further will the stock market fall   
            "
89,Population+growth+rate,"Jul 7, 2015",China faces challenges in Asia ," China has a short window of opportunity to build the infrastructure it needs   
            "
90,Population+growth+rate,"Jun 1, 2015",Chris Johns: Start your own business before the robots take over," Technologically disrupted workers need to reinvent themselves in self-employment.     
            "
91,Population+growth+rate,"Mar 20, 2015",Australian economy enters troubled waters,"   Last year’s inconclusive budget  stymies business as  emphasis in Australia shifts from ‘mining to dining’ 
            "
92,Population+growth+rate,"Mar 17, 2015",Dollar strength is weakness as euro migrates its slump," The US isn’t exactly booming but it looks great compared with Europe   
            "
93,Population+growth+rate,"Mar 11, 2015",Improving economy makes India a rising force," Martin Wolf: Government  making sensible  reforms   
            "
94,Population+growth+rate,"Mar 10, 2015",How our education system affects the economy of the future ," Countries that prioritise education see the benefits decades later   
            "
95,Population+growth+rate,"Mar 3, 2015",The pathway to Germany’s low unemployment," Reunification came at a significant cost to the German economy in the short term   
            "
96,Population+growth+rate,"Feb 6, 2015","Strong US job, wage gains open door to mid-year rate hike"," January marked 11th straight month of job gains above 200,000, the longest streak since 1994   
            "
97,Population+growth+rate,"Nov 7, 2014","US payrolls rise, unemployment rate falls to 5.8 %"," New figures show that the unemployment rate in the US is at a fresh six-year low   
            "
98,Population+growth+rate,"Oct 28, 2014",Analysts wonder if slowing Chinese GDP is part of a bigger trend," New study bearish on China’s long-term outlook   
            "
99,Population+growth+rate,"Oct 22, 2014",APEC nations vow to pursue ‘flexible’ fiscal policies," Members to advance structural reforms in order to unleash new sources of growthR   
            "
100,Population+growth+rate,"Oct 14, 2014",China (sort of) overtakes US as  biggest economy," Based on purchasing power parity, China has edge over America   
            "
101,Population+growth+rate,"Oct 1, 2014",Long-term joblessness won’t be easily solved," Challenges ahead despite CSO figures showing Ireland’s unemployment rate will fall to about 10.8%
            "
102,Population+growth+rate,"Sep 8, 2014",Opportunity for Republic in low interest rates," Infrastructure gap could be narrowed to meet needs of growing population   
            "
103,Population+growth+rate,"Jul 16, 2014",Janet Yellen cautions on uncertain US economic outlook,"   Economic performance will help determine interest rate changes, says Fed chairwoman 
            "
104,Population+growth+rate,"Jun 14, 2014",Ireland: an economic snapshot," It’s six months this weekend since we exited the bailout and said goodbye to the troika – until their next visit, anyway. ‘Irish Times’ journalists assess how we’re doing, with a graphical guide by Pamela Duncan  
            "
105,Population+growth+rate,"Jun 6, 2014",Backsliding on austerity would risk another crisis," The raspberry sents Brussels way might have given civil servants pause for thought   
            "
106,Population+growth+rate,"Apr 26, 2014",What’s driving the rapid property price rise?," Opinion: We now need to build new homes and get banks to fund property development    
            "
107,Population+growth+rate,"Feb 26, 2014",Long-term unemployment a bigger problem than emigration," Opinion: Irish policy-makers are late coming to the realisation that labour activation policies are vital   
            "
108,Population+growth+rate,"Feb 7, 2014",US employment fails to rebound strongly from winter chill," Loss of momentum seen in  economy, but unemployment rate hits five-year low   
            "
109,Population+growth+rate,"Jan 21, 2014","Davos dilemma: how to help, not harm, world’s fragile recovery"," Euro zone deflation, US tapering, Japanese reforms, China’s bubble all pose major threats 
            "
110,age+distribution,"Jun 14, 2014",Piketty on Ireland," Thomas Piketty’s theory of rising inequality has made him one of 2014’s  best-selling authors. As the French economist prepares for a visit to Dublin, he talks about Ireland’s place in Europe, why we were right not to burn the bondholders, and our country’s ‘unfair’ property tax    
            "
111,age+distribution,"Feb 12, 2014",Enslave the robots and free the poor," The prospect of far better lives depends on how the gains are produced and distributed    
            "
112,safety+emphasis,"May 9, 2018","Cliff Taylor: Brexit is a bagful of intricate, complex, endless 'stuff'"," Commerce needs to take hard Brexiteers to task as basic trade mechanics are overlooked
            "
113,cultural+barriers,"Feb 18, 2015",Europe looks to securitised debt to aid flagging economy," Brussels set to loosen capital charges on asset-backed securities   
            "
