Envior_ID,Name_Envior,Date_Envior,Headline_Envior,Description_Envior
30,weather,"Nov 25, 2016",Chris Johns: Ireland flexible enough for brutal logic of euro," Currency union for Greece and Italy has them into economic zombies   
            "
31,weather,"Oct 11, 2016",Budget 2017: Full text of Michael Noonan’s speech," Read about all the measures announced by Minister for Finance in Dáil today    
            "
32,weather,"Oct 7, 2016",US employment growth slows for third straight month," Fed unlikely to announce  interest rate hike before  November 8th presidential election   
            "
33,weather,"Sep 19, 2016",Brexit: ‘The unknowns outnumber the knowns’ ," Ibec pares back  economic forecasts amid uncertainty over long-term impact of Brexit   
            "
34,weather,"Aug 18, 2016","Analysis: No Brexit economic hit yet, but it’s coming"," UK consumer spending rose unexpectedly in July but is unlikely to stay solid for long   
            "
35,weather,"Aug 18, 2016",Shoppers shrug off Brexit as retail sales jump in July," New data shows retails sales grew by more than expected despite vote to leave the EU   
            "
36,weather,"Aug 15, 2016",Sterling steady near three-year low ahead of Brexit impact data," Traders await national data on consumer and corporate reaction to June referendum   
            "
37,weather,"Jul 29, 2016",US economic growth of 1.2% misses estimates," The tepid data may dim speculation that the Fed will increase its interest rate  this year   
            "
38,weather,"Jul 29, 2016",Monsieur Non and Scourge of the City face hard task over Brexit," Appointment of David Davis and Michel Barnier flag difficulty of EU/UK talks   
            "
39,weather,"Jun 7, 2016",Northern Ireland  gripped by uncertainty over Brexit referendum," There are growing fears about what will happen if the UK votes to leave the EU
            "
40,weather,"May 13, 2016","German economy powers ahead, but exports cloud picture"," Economy grew by 0.7% in the first three months, the highest  rate since  early  2014   
            "
41,weather,"Mar 8, 2016",German industrial production jumps to six-year high," Latest numbers show strong demand underpinning output   
            "
42,weather,"Feb 22, 2016",Analysis: Markets in parallel universe to  real economy," ‘Nothing more important than how the political classes shape up  after the election’   
            "
43,weather,"Feb 17, 2016",US housing starts fall in January as bad weather hits activity," Producer prices nudge up, showing signs of uptick in inflation   
            "
44,weather,"Feb 10, 2016",Europe’s top four economies suffer drop in output," Germany, Britain, France and Italy all down, which does not bode well for global economy   
            "
45,weather,"Feb 5, 2016","US job growth slows, unemployment rate at 8-year low"," Nonfarm payrolls rose by 151,000 jobs last month,  unemployment rate  at 4.9%   
            "
46,weather,"Feb 1, 2016",Wall St starts February in red after weak Chinese data," Google parent Alphabet and Barbie maker Mattel to report after market close   
            "
47,weather,"Jan 22, 2016",Ireland fights to sell positive story despite gloomy mood at Davos ," Vying with host of world and business leaders, Kenny and IDA chief are in diplomatic overdrive    
            "
48,weather,"Oct 30, 2015",US growth slows despite rise in consumer spending  ," Main reason for  deceleration was  slowdown in stock accumulation by companies   
            "
49,weather,"Sep 4, 2015",Planet Business," Australia loses steam, Google adopts a smiling ‘e’ and the Fiat Chrysler boss gets huggy   
            "
50,weather,"Aug 26, 2015",Avinash Persaud: Why the Fed must not blink on interest rate rise," Monetary policy cannot confine itself to reacting to the latest inflation data   
            "
51,weather,"Aug 21, 2015",Talk of widespread deflation across  world on market developments," D-word back after commodity price fall and China  engineers depreciation of  yuan   
            "
52,weather,"Aug 12, 2015",Old  measures of efficiency failing  to capture tech advances," Our domestic productivity has benefited from washing machines, vacuum cleaners and central heating   
            "
53,weather,"Jul 31, 2015",Head of  insurer FBD to step down with immediate effect," Senior former Central Bank executive Fiona Muldoon to replace Andrew Langford on an interim basis   
            "
54,weather,"Jul 28, 2015",John FitzGerald: The calm after the eruption," In contrast to Greece, growth is well under way in Ireland, Iceland, Latvia, Estonia, Portugal and Spain   
            "
55,weather,"Jul 20, 2015",China stocks recover as regulator reaffirms support," Small caps extend rebound but investors still cautious   
            "
56,weather,"Jun 25, 2015",Robust US consumer spending buoys economic growth outlook," Spending recorded its largest increase in nearly six years in May    
            "
57,weather,"Apr 28, 2015",House prices begin rising again despite new lending curbs," Latest official figures show prices rose 0.9% nationally in March and by 1.1% in Dublin   
            "
58,weather,"Apr 3, 2015",Weak US job growth  could delay anticipated   rate hike ," Non-farm payrolls increased 126,000 last month, the smallest gain since December 2013    
            "
59,weather,"Mar 19, 2015",US current account deficit  largest since 2012," Exports and the primary income surplus fell in the fourth quarter of the year   
            "
60,weather,"Mar 6, 2015",Sharp rise in US jobs figures sends dollar soaring," Speculation that the Fed is nearing its first interest-rate rise in nearly a decade   
            "
61,weather,"Nov 12, 2014",An unethical bet in the climate casino," Opinion: Republican wins in US midterms have implications for humanity    
            "
62,weather,"Sep 22, 2014",Politicians need to keep cause of collapse in mind as economy recovers," Opinion: safest course in budget would be to implement final part of Troika plan    
            "
63,weather,"Aug 29, 2014",Japan household spending slumps in  month of July," Despite weak signs in the economy, the BOJ is optimistic that a tightening job market will lead to higher wages   
            "
64,weather,"Aug 15, 2014",German growth should prompt ECB into action," How worried should we be about a slowdown in the German economy?   
            "
65,weather,"Aug 1, 2014",Planet Business," This week: Bonuses, vultures, sanctions, ‘poor doors’ and the importance of side orders   
            "
66,weather,"Jun 9, 2014",Japan’s economy picks up on  surge in capital spending," Economy grew at  an annualised 6.7 per cent in the first quarter, new figures show   
            "
67,weather,"Jun 6, 2014",US recoups jobs lost in recession as economy picks up," Latest official figures show employment returned to its pre-recession level last month   
            "
68,weather,"May 29, 2014",US economy contracts in first quarter as expected," Official statistics show gross domestic product shrank by 1%, its worst performance since 2011   
            "
69,weather,"May 28, 2014",German unemployment rises unexpectedly in May," Jobless rate in Europe's powerhouse economy rises amid signs of slowdown, according to official data
            "
70,weather,"May 13, 2014",Bonds: the greatest bull market of all time gets even frothier," Many of us thought it would come to an end years ago but we’vee been humiliated by reality   
            "
71,weather,"May 6, 2014",OECD cuts global growth outlook as developing economies falter," World economy is set to grow 3.4 per cent this year before accelerating to 3.9 per cent next year   
            "
72,weather,"Apr 30, 2014",US Fed signals thawing of economy after winter chill," Household spending appears to be rising ‘more quickly’   
            "
73,weather,"Apr 15, 2014",Strong US retail sales open the door to more tapering by the Fed," Wall Street post-winter rebound led by technology stocks   
            "
74,weather,"Apr 8, 2014",IMF upbeat on global recovery but wary of risks in Ukraine ," Washington-based fund’s twice yearly outlook predicts global output will expand by 3.6 per cent   
            "
75,weather,"Apr 4, 2014",US maintains solid job growth pace as winter fades," Data provides further evidence the economy is shifting into higher gear after brutally cold winter   
            "
76,weather,"Mar 25, 2014",New home sales fall to five-month low in US," Supply of new houses on the market hit the highest level since December 2010   
            "
77,weather,"Mar 13, 2014","US retail sales rebound from winter chill, jobless claims fall"," New applications for unemployment benefits hit a fresh three-month low last week   
            "
78,weather,"Mar 13, 2014",Survey shows growth in UK house prices  cools in February ," Pent-up demand from potential buyers previously shut out of the market eased last month   
            "
79,weather,"Mar 6, 2014",Bank of England keeps  borrowing costs at record low," Britain marks five year anniversary of historic low interest rates   
            "
80,weather,"Feb 28, 2014",German retail sales rise at fastest rate in seven years," Hopes rise that consumer spending will support economic growth    
            "
81,weather,"Feb 25, 2014",US consumers lose confidence as economic fears weigh," Consumer confidence falls in February amidst concerns about the US economy’s direction but house prices continue to rise, with data showing prices in 20 US cities are on the advance   
            "
82,weather,"Feb 21, 2014",US existing home sales slump to 18-month low," Combination of cold weather and a lack of housing stock sidelined potential buyers   
            "
83,weather,"Feb 20, 2014",US jobless claims fell last week," New data points to improving labour market conditions, despite two months of weak hiring   
            "
84,weather,"Feb 20, 2014",Federal Reserve had few doubts about slowing asset purchases," Tapering set to continue in absence of big shift in US economy   
            "
85,weather,"Feb 7, 2014",US employment fails to rebound strongly from winter chill," Loss of momentum seen in  economy, but unemployment rate hits five-year low   
            "
86,weather,"Feb 6, 2014",US jobless claims fall as weak exports push up trade deficit," Latest numbers from US provide to labour market outlook and broader economy   
            "
87,weather,"Jan 17, 2014",US housing starts fall less than expected," But colder weather may have dampened activity as groundbreaking drops 9.8 per cent   
            "
88,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
89,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
90,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
91,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
92,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
93,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
94,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
95,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
96,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
97,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
98,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
99,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
100,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
101,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
102,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
103,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
104,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
105,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
106,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
107,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
108,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
109,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
110,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
111,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
112,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
113,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
114,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
115,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
116,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
117,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
118,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
119,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
120,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
121,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
122,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
123,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
124,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
125,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
126,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
127,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
128,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
129,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
130,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
131,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
132,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
133,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
134,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
135,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
136,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
137,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
138,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
139,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
140,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
141,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
142,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
143,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
144,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
145,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
146,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
147,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
148,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
149,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
150,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
151,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
152,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
153,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
154,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
155,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
156,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
157,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
158,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
159,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
160,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
161,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
162,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
163,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
164,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
165,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
166,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
167,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
168,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
169,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
170,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
171,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
172,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
173,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
174,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
175,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
176,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
177,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
178,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
179,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
180,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
181,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
182,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
183,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
184,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
185,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
186,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
187,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
188,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
189,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
190,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
191,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
192,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
193,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
194,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
195,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
196,weather,"Nov 19, 2018",‘Smart Atlantic way’ could narrow east-west economic divide – report," Finnish Helsinki region and Scottish highlands already providing models
            "
197,weather,"Nov 5, 2018",UK services sector slows to seven-month low," Brexit continues to foster gloomy outlook
            "
198,weather,"Oct 17, 2019",Brexit deal positive – but dangers haven’t gone away," Cliff Taylor: The backstop is gone, replaced by a permanent arrangement for the North
            "
199,weather,"Oct 3, 2019","Interconnector is not just about electricity, it's about power"," John Fitzgerald: if Ireland is to generate 40% of its electricity from wind we need to double our interconnection with Britain and France
            "
200,weather,"Aug 18, 2019",Chris Johns: UK facing a future as a failed state after Brexit," Hard Brexit on October 31st won’t be the end, merely the start of an even more chaotic phase
            "
201,weather,"Aug 2, 2019","Apple’s Irish profits, Kennedy Wilson’s Irish growth, and the future of INM"," Business Today: the best news, analysis and comment from The Irish Times business desk
            "
202,weather,"Jul 3, 2019",Higgins welcomes bounce in German-Irish trade," President cites it as proof of ‘strong and enduring’ bilateral relationship
            "
203,weather,"May 17, 2019",John FitzGerald: Climate change and the end of an empire," Collapse of Rome shows how failure to adapt can have catastrophic consequences
            "
204,weather,"Apr 1, 2019",US retail sales unexpectedly ease in February," Fall may signal further headwinds for the economy
            "
205,weather,"Jan 6, 2019",Australia braces for hard landing in housing market," OECD issues warning as Sydney house prices record biggest monthly fall for 14 years
            "
